id,playlist_id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
1Qrg8KqiBpW07V7PNxwwwL,37i9dQZF1DXcBWIGoYBM5M,Kill Bill,SZA,0.0521,0.644,0.735,153947.0,0.144,8.0,0.161,-5.747,1.0,0.0391,88.98,4.0,0.418,2.565783333333333
0V3wPSX9ygBnCm8psDIegu,37i9dQZF1DXcBWIGoYBM5M,Anti-Hero,Taylor Swift,0.13,0.637,0.643,200690.0,1.8e-06,4.0,0.142,-6.571,1.0,0.0519,97.008,4.0,0.533,3.3448333333333333
0WtM2NBVQNNJLh6scP13H8,37i9dQZF1DXcBWIGoYBM5M,Calm Down (with Selena Gomez),Rema,0.382,0.801,0.806,239318.0,0.000669,11.0,0.114,-5.206,1.0,0.0381,106.999,4.0,0.802,3.9886333333333335
2dHHgzDwk4BJdRwy9uXhTO,37i9dQZF1DXcBWIGoYBM5M,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0.417,0.715,0.62,221520.0,0.0,1.0,0.0822,-6.005,0.0,0.0484,97.95,4.0,0.172,3.692
3nqQXoyQOWXiESFLlDF1hG,37i9dQZF1DXcBWIGoYBM5M,Unholy (feat. Kim Petras),Sam Smith,0.013,0.714,0.472,156943.0,4.51e-06,2.0,0.266,-7.375,1.0,0.0864,131.121,4.0,0.238,2.6157166666666667
1xzi1Jcr7mEi9K2RfzLOqS,37i9dQZF1DXcBWIGoYBM5M,CUFF IT,Beyoncé,0.0368,0.78,0.689,225389.0,9.69e-06,7.0,0.0698,-5.668,1.0,0.141,115.042,4.0,0.642,3.756483333333333
5Z2MiIZ5I3jJvvmeWMLbOQ,37i9dQZF1DXcBWIGoYBM5M,Escapism.,RAYE,0.138,0.538,0.742,272373.0,4.67e-05,2.0,0.0934,-5.355,1.0,0.114,96.107,4.0,0.25,4.53955
4LRPiXqCikLlN15c3yImP7,37i9dQZF1DXcBWIGoYBM5M,As It Was,Harry Styles,0.342,0.52,0.731,167303.0,0.00101,6.0,0.311,-5.338,0.0,0.0557,173.93,4.0,0.662,2.788383333333333
3zkyus0njMCL6phZmNNEeN,37i9dQZF1DXcBWIGoYBM5M,LET GO,Central Cee,0.859,0.735,0.449,175890.0,0.0,2.0,0.213,-9.933,0.0,0.383,146.016,4.0,0.514,2.9315
2mnXxnrX5vCGolNkaFvVeM,37i9dQZF1DXcBWIGoYBM5M,La Jumpa,Arcángel,0.111,0.887,0.234,196800.0,0.67,9.0,0.13,-14.52,1.0,0.178,140.02,4.0,0.197,3.28
5Y35SjAfXjjG0sFQ3KOxmm,37i9dQZF1DXcBWIGoYBM5M,Nobody Gets Me,SZA,0.805,0.358,0.284,180853.0,0.0,7.0,0.183,-8.285,1.0,0.0285,99.796,3.0,0.276,3.0142166666666665
0QHEIqNKsMoOY5urbzN48u,37i9dQZF1DXcBWIGoYBM5M,Made You Look,Meghan Trainor,0.345,0.838,0.525,134256.0,1.92e-06,10.0,0.0771,-3.562,1.0,0.0665,144.981,4.0,0.884,2.2376
4uUG5RXrOk84mYEfFvj3cK,37i9dQZF1DXcBWIGoYBM5M,I'm Good (Blue),David Guetta,0.00383,0.561,0.965,175238.0,7.07e-06,7.0,0.371,-3.673,0.0,0.0343,128.04,4.0,0.304,2.9206333333333334
1bDbXMyjaUIooNwFE9wn0N,37i9dQZF1DXcBWIGoYBM5M,Rich Flex,Drake,0.0503,0.561,0.52,239360.0,1.86e-06,11.0,0.355,-9.342,0.0,0.244,153.15,3.0,0.424,3.989333333333333
0O6u0VJ46W86TxN9wgyqDj,37i9dQZF1DXcBWIGoYBM5M,I Like You (A Happier Song) (with Doja Cat),Post Malone,0.121,0.733,0.67,192841.0,0.0,5.0,0.121,-6.009,1.0,0.0751,100.964,4.0,0.472,3.2140166666666667
5odlY52u43F5BjByhxg7wg,37i9dQZF1DXcBWIGoYBM5M,golden hour,JVKE,0.653,0.515,0.593,209260.0,0.162,4.0,0.25,-4.801,1.0,0.0322,94.467,3.0,0.153,3.4876666666666667
5jQI2r1RdgtuT8S3iG8zFC,37i9dQZF1DXcBWIGoYBM5M,Lavender Haze,Taylor Swift,0.258,0.733,0.436,202396.0,0.000573,10.0,0.157,-10.489,1.0,0.08,96.985,4.0,0.0976,3.373266666666667
1qEmFfgcLObUfQm0j1W2CK,37i9dQZF1DXcBWIGoYBM5M,Late Night Talking,Harry Styles,0.298,0.714,0.728,177955.0,0.0,10.0,0.106,-4.595,1.0,0.0468,114.996,4.0,0.901,2.9659166666666668
73vIOb4Q7YN6HeJTbscRx5,37i9dQZF1DXcBWIGoYBM5M,Miss You,Oliver Tree,0.0128,0.587,0.742,206000.0,0.00107,6.0,0.146,-6.64,0.0,0.0529,145.007,4.0,0.199,3.433333333333333
34ZAzO78a5DAVNrYIGWcPm,37i9dQZF1DXcBWIGoYBM5M,Shirt,SZA,0.146,0.824,0.453,181831.0,0.0273,3.0,0.0896,-9.604,0.0,0.0968,119.959,4.0,0.552,3.0305166666666667
78Sw5GDo6AlGwTwanjXbGh,37i9dQZF1DXcBWIGoYBM5M,Here With Me,d4vd,0.534,0.574,0.469,242485.0,9.21e-05,4.0,0.128,-8.209,1.0,0.0254,132.023,4.0,0.288,4.041416666666667
5IgjP7X4th6nMNDh4akUHb,37i9dQZF1DXcBWIGoYBM5M,Under The Influence,Chris Brown,0.0635,0.733,0.69,184613.0,1.18e-06,9.0,0.105,-5.529,0.0,0.0427,116.992,4.0,0.31,3.0768833333333334
38T0tPVZHcPZyhtOcCP7pF,37i9dQZF1DXcBWIGoYBM5M,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0.148,0.637,0.715,210576.0,0.0,2.0,0.0892,-4.971,0.0,0.0455,141.872,4.0,0.308,3.5096
6BePGk3eCan4FqaW2X8Qy3,37i9dQZF1DXcBWIGoYBM5M,10:35,Tiësto,0.0683,0.696,0.793,172253.0,3.78e-06,8.0,0.18,-5.733,1.0,0.097,120.003,4.0,0.698,2.870883333333333
4FyesJzVpA39hbYvcseO2d,37i9dQZF1DXcBWIGoYBM5M,Just Wanna Rock,Lil Uzi Vert,0.0652,0.486,0.545,123891.0,0.00474,11.0,0.0642,-7.924,1.0,0.0336,150.187,4.0,0.0385,2.06485
1IHWl5LamUGEuP4ozKQSXZ,37i9dQZF1DXcBWIGoYBM5M,Tití Me Preguntó,Bad Bunny,0.0993,0.65,0.715,243717.0,0.000291,5.0,0.126,-5.198,0.0,0.253,106.672,4.0,0.187,4.06195
4h9wh7iOZ0GGn8QVp4RAOB,37i9dQZF1DXcBWIGoYBM5M,I Ain't Worried,OneRepublic,0.0826,0.704,0.797,148486.0,0.000745,0.0,0.0546,-5.927,1.0,0.0475,139.994,4.0,0.825,2.4747666666666666
0T5iIrXA4p5GsubkhuBIKV,37i9dQZF1DXcBWIGoYBM5M,Until I Found You,Stephen Sanchez,0.727,0.539,0.508,177720.0,0.0,10.0,0.174,-6.05,1.0,0.0288,101.358,3.0,0.227,2.962
35ovElsgyAtQwYPYnZJECg,37i9dQZF1DXcBWIGoYBM5M,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0.899,0.247,0.299,196520.0,0.0,9.0,0.131,-6.083,1.0,0.0315,177.115,4.0,0.172,3.275333333333333
