id,title,main_artist,acousticness,danceability,energy,duration_ms,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_min
73RdXBA5oTmOr6furSPoti,Identity,grandson,0.000348,0.495,0.731,216000,0.0,8,0.0598,-6.304,1,0.0458,120.004,4,0.284,3.6
1CqOEa4NIRBaWR6sNHTDTo,Как тебя покорить,Перемотка,0.00677,0.514,0.966,218764,0.0422,2,0.382,-4.854,1,0.0502,91.025,4,0.802,3.6460666666666666
4QGV75zJdM68DDbeXvlXOz,Первый снег,Перемотка,0.0118,0.548,0.862,179442,0.893,11,0.208,-6.984,1,0.0333,100.815,4,0.609,2.9907
0E5kJzyQhf4m02ooeO9tTy,Vchera,AL-90,0.0298,0.65,0.609,323000,0.875,8,0.106,-9.038,1,0.0663,119.993,4,0.18,5.383333333333334
3Y7yePf9MtKCJbzeuqBJmN,шесть,тима ищет свет,0.0841,0.663,0.841,190146,0.000184,5,0.101,-6.18,1,0.144,166.065,4,0.762,3.1691
4zafGs520iPYGMd80DDoY6,Herz aus Stein,Arctic8,0.301,0.637,0.787,204000,0.0932,6,0.0794,-10.296,0,0.0342,88.981,4,0.583,3.4
1yMleiivwXM5mBjDV6rT1a,Хостел,Affinage,0.0505,0.5,0.591,324507,0.0,1,0.105,-8.87,0,0.0723,75.672,4,0.25,5.40845
0uhI1APF1D4scWNrOUCMIw,Остров,My,0.517,0.583,0.624,146341,0.000169,5,0.0728,-6.799,1,0.06,164.062,4,0.428,2.439016666666667
3gqYxzuwt40Q1bLflovbsI,El Muchacho de los Ojos Tristes,Jeanette,0.277,0.705,0.418,217333,1.62e-06,9,0.166,-12.574,1,0.0302,113.029,4,0.798,3.6222166666666666
2398GSLbctyjLClJrqskt2,Звезда упала,Sqwore,0.0604,0.688,0.634,95533,0.0,11,0.164,-8.452,1,0.0669,91.196,4,0.729,1.5922166666666666
49sQqlr7ZExR227fObSjes,hyperpop luv,whyalive,0.000352,0.568,0.874,85347,0.0,6,0.399,-2.913,1,0.0663,90.046,4,0.692,1.42245
53shWqZYUcOCTM8bn6Z2nM,Код,whyalive,0.0894,0.6,0.608,134000,1.55e-05,8,0.282,-6.444,1,0.106,170.798,4,0.751,2.2333333333333334
3pZeC8pVMaw8tUcyF5XPX3,Лимон,Соленоид,0.0142,0.462,0.623,161505,1.01e-06,8,0.264,-10.742,1,0.0347,103.0,4,0.184,2.69175
0h302qVfzax9JhJNJLFK1D,Shapes,Fransis Derelle,0.0549,0.343,0.708,223068,0.000689,7,0.105,-4.28,0,0.0328,98.028,4,0.0869,3.7178
0aKXiOFEmprIpNXf8NhGXn,Аквариум,Sqwore,0.00582,0.514,0.792,107100,7.19e-06,0,0.157,-2.232,1,0.0264,139.25,4,0.179,1.785
0DQqBxcg5KhUBxcgepXws3,По*уй,KVESTAR,0.0125,0.722,0.623,121292,0.0,6,0.275,-10.079,0,0.155,93.664,4,0.318,2.021533333333333
2B1yZ9EZWgzXtfZd7vyB9d,East Nostalgia,Raimu,0.324,0.611,0.197,167806,0.875,9,0.0724,-12.385,0,0.0279,77.51,4,0.092,2.7967666666666666
4wHkfOTO5XpTrVn1bHxR18,Dream Space,DVRST,0.137,0.781,0.696,171466,0.00424,2,0.573,-6.069,1,0.113,107.996,4,0.293,2.8577666666666666
0z58HQdBeOGPCveLYfX6lO,untitled,semmmyq,0.0984,0.375,0.906,187272,1.45e-06,7,0.0855,-3.977,1,0.138,172.292,4,0.279,3.1212
2D4dV2KXDTszzJ3p3cFqhA,Less Than Zero,The Weeknd,0.00096,0.535,0.791,211814,0.000155,0,0.0788,-5.55,1,0.0327,142.981,4,0.5,3.5302333333333333
1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,The Weeknd,0.0296,0.735,0.795,188918,3.18e-05,11,0.0678,-6.523,0,0.113,122.0,4,0.905,3.148633333333333
2gOcipXTf3Mz1sluNtycZE,Pneumothorax,Blueneck,0.597,0.246,0.317,252000,0.82,7,0.0772,-10.222,0,0.0354,108.354,4,0.0365,4.2
070TMc1fjJGBGxxmf1DIbD,THE DEATH OF PEACE OF MIND,Bad Omens,0.079,0.467,0.705,241499,0.000255,0,0.143,-5.613,0,0.046,154.983,4,0.267,4.024983333333333
25C9EfLoWx1GppQ9QhH8Ev,Super Star,AP$ENT,0.129,0.426,0.855,153338,0.000551,0,0.272,-8.276,1,0.065,184.929,4,0.513,2.555633333333333
5dAtKXyrQoQW054LZqJ5dP,Feel Something (With I Prevail),ILLENIUM,0.00153,0.428,0.877,221000,0.00372,5,0.0943,-4.722,0,0.0835,75.518,4,0.113,3.683333333333333
5ROUkE55LI83kG3ZRmAnum,Light Up The Sky (feat. Scott Stapp),Wooli,0.104,0.165,0.664,284425,5.65e-05,7,0.147,-4.064,1,0.038,150.069,4,0.154,4.7404166666666665
2d0R1XYUy7z0RTsWrlcOkn,Цунами,Пионерлагерь Пыльная Радуга,0.00264,0.306,0.87,217930,0.0,6,0.367,-5.862,1,0.173,81.549,4,0.429,3.6321666666666665
5fenzwiBvLp2tdrKBdddPg,17 Hands,Alfonso Peduto,0.97,0.577,0.379,208805,0.874,0,0.108,-18.53,0,0.0332,131.038,3,0.923,3.4800833333333334
5y6ZHwI8UapWSZxRU5uxLw,Фантастические дни,Horus,0.324,0.781,0.682,164400,3.87e-06,1,0.126,-6.408,0,0.163,100.012,4,0.228,2.74
0SJiIneafLcHKgRwNj3UTZ,Thunder,RY X,0.811,0.253,0.161,200000,0.0134,7,0.116,-16.756,0,0.0375,53.143,5,0.149,3.3333333333333335
3rWcixwqK2i5Ts8C4e3ylr,Побег,Luperkal,0.149,0.624,0.696,210836,0.000375,1,0.124,-5.385,1,0.23,90.539,4,0.275,3.513933333333333
18OGgA3bRnZEQEj2ri3ZPf,Организация,Oxxxymiron,0.224,0.859,0.657,201480,0.0,1,0.128,-8.279,1,0.298,109.99,4,0.62,3.358
663kes2mCxMDehEpXBtC9x,Колесо,Oxxxymiron,0.0801,0.872,0.858,143845,0.0,8,0.178,-5.779,1,0.221,115.044,4,0.417,2.3974166666666665
4ZIdJZbRktq0D3Z0L0miLm,Любовь 2000,Lida,0.0562,0.609,0.916,189375,0.0,0,0.0872,-4.937,1,0.0494,128.027,4,0.844,3.15625
7qCVgOCMrIGgNY0IgFcoYQ,ЦУНАМИ,Oxxxymiron,0.085,0.588,0.892,164523,0.0,11,0.216,-3.905,1,0.0587,82.995,4,0.711,2.74205
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone,0.0361,0.687,0.781,193507,0.0,1,0.0755,-4.806,1,0.053,97.014,4,0.688,3.2251166666666666
44zGAo63hhc3xo0rlBweRo,Cheers Darlin',Damien Rice,0.697,0.549,0.112,350227,0.000507,9,0.165,-17.846,0,0.0482,113.552,3,0.103,5.837116666666667
30KctD1WsHKTIYczXjip5a,Tequila Shots,Kid Cudi,0.084,0.712,0.556,193293,5.04e-05,5,0.527,-7.214,0,0.0531,90.494,4,0.22,3.22155
2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,0.00996,0.394,0.661,260987,0.0,4,0.343,-8.684,1,0.192,149.818,4,0.335,4.349783333333333
0bN7DynJGpsFsUyh75Txjg,Прыжок веры,Horus,0.203,0.875,0.683,170667,0.0,6,0.0686,-4.53,0,0.249,90.003,4,0.743,2.84445
7pno2SdekgAtRiRVxCgtJK,CORRIDA,Куок,0.0468,0.715,0.766,195313,2.68e-06,2,0.117,-6.235,1,0.253,144.964,4,0.486,3.2552166666666666
0zABdMmC5LcHpT2EFjBzEm,кукольный дом,Playingtheangel,0.056,0.801,0.737,152727,1.19e-06,10,0.0691,-6.03,0,0.217,98.964,4,0.845,2.54545
